CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
09-091,27,481369,25.85,1,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
09-091,27,88081,4.73,1,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
09-091,27,53940,2.90,1,0,2,18,+EUROPA,3-20220925000000-18.png,0
09-091,27,7206,0.39,1,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
09-091,34,30697,1.65,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
10-101,1,35107,8.05,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
10-101,4,5199,1.19,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
10-101,8,5373,1.23,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
10-101,13,2537,0.58,0,0,0,6,VITA,3-20220925000000-6.png,0
10-101,21,5052,1.16,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
10-101,22,131759,30.21,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
10-101,22,34634,7.94,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
10-101,22,31294,7.18,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
10-101,22,2003,0.46,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
10-101,25,55212,12.66,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
10-101,27,93946,21.54,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
10-101,27,15221,3.49,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
10-101,27,9133,2.09,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
10-101,27,1854,0.43,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
10-101,34,7821,1.79,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
11-111,1,56490,7.42,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
11-111,4,8647,1.14,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
11-111,8,10445,1.37,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
11-111,13,6334,0.83,0,0,0,6,VITA,3-20220925000000-6.png,0
11-111,21,10021,1.32,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
11-111,22,224466,29.49,2,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
11-111,22,60793,7.99,2,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
11-111,22,49751,6.54,2,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
11-111,22,5976,0.79,2,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
11-111,25,104964,13.79,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
11-111,27,151772,19.94,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
11-111,27,24778,3.26,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
11-111,27,20335,2.67,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
11-111,27,3572,0.47,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
11-111,28,2734,0.36,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
11-111,34,20021,2.63,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
12-121,1,151304,11.09,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
12-121,4,8152,0.60,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
12-121,8,16779,1.23,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
12-121,13,6714,0.49,0,0,0,6,VITA,3-20220925000000-6.png,0
12-121,21,24228,1.78,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
12-121,22,387873,28.44,3,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
12-121,22,60933,4.47,3,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
12-121,22,58392,4.28,3,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
12-121,22,5922,0.43,3,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
12-121,25,191805,14.06,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
12-121,27,293112,21.49,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
12-121,27,69300,5.08,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
12-121,27,60006,4.40,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
12-121,27,7495,0.55,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
