CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
12,27,489591,18.31,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
12,27,104231,3.90,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
12,27,89245,3.34,0,,2,18,+EUROPA,3-20220925000000-18.png
12,27,15537,0.58,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
12,28,5056,0.19,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
12,34,42080,1.57,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
13,1,38006,6.09,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
13,8,7875,1.26,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
13,13,2798,0.45,0,,0,6,VITA,3-20220925000000-6.png
13,21,10175,1.63,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
13,22,170181,27.25,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
13,22,75767,12.13,1,,1,11,FORZA ITALIA,3-20220925000000-11.png
13,22,51685,8.28,1,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
13,22,4087,0.65,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
13,25,116909,18.72,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
13,27,100829,16.14,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
13,27,16441,2.63,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
13,27,12213,1.96,0,,2,18,+EUROPA,3-20220925000000-18.png
13,27,3965,0.63,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
13,28,1649,0.26,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
13,34,11977,1.92,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
14,1,5390,4.76,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
14,8,1777,1.57,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
14,9,1305,1.15,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
14,21,1978,1.75,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
14,22,25341,22.38,0,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
14,22,15130,13.36,0,,1,11,FORZA ITALIA,3-20220925000000-11.png
14,22,7442,6.57,0,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
14,22,1565,1.38,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
14,25,27758,24.51,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
14,27,19942,17.61,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
14,27,3212,2.84,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
14,27,1643,1.45,0,,2,18,+EUROPA,3-20220925000000-18.png
14,27,758,0.67,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
15,1,118028,5.25,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
